name;ranking;puntos;partidos_jugados;partidos_ganados;partidos_perdidos;efectividad;racha_victorias;compañero;posicion;lugar nacimiento;fecha nacimiento;altura;residencia;partidos jugados 2021;partidos ganados 2021;efectividad 2021;campeon 2021;finalista 2021;semifinalista 2021;cuartos 2021;octavos 2021;dieciseisavos 2021;partidos jugados 2020;partidos ganados 2020;efectividad 2020;campeon 2020;finalista 2020;semifinalista 2020;cuartos 2020;octavos 2020;dieciseisavos 2020
Carlos Mora Íscar;169;78;41;12;29;29,27;2;Marc Pou Serra;Revés;Palma de Mallorca;05/08/2000;1,87;Palma de Mallorca;1;0;0;0;0;0;0;0;0;13;4;30,77;0;0;0;0;0;0
Cayetano Rocafort Lores;173;75;118;63;55;53,39;5;Simon Vasquez;Revés;Málaga;04/10/1994;1,75;Marbella;0;0;0;0;0;0;0;0;0;5;3;60;0;0;0;0;0;0
Ricardo Martins ;178;70;52;18;34;34,62;3;David Antolín Solla;Revés;Lisboa - Portugal;27/08/1991;1,82;Málaga- Espanha;29;13;44,83;0;0;0;0;0;0;19;5;26,32;0;0;0;0;0;0
Emilio Sanchez Chamero;180;69;8;3;5;37,5;1;Jose Jimenez Casas;Revés;Madrid;27/03/2003;1,82;Getafe;8;3;37,5;0;0;0;0;0;0;;;;;;;;;
Francisco Arenas Gualda;180;69;41;14;27;34,15;2;Rubén Sánchez Sánchez;Drive;Madrid;27/02/1993;1,76;Madrid;24;7;29,17;0;0;0;0;0;0;15;6;40;0;0;0;0;0;0
Gabriel Espelleta Font;184;66;37;12;25;32,43;4;Eduard Altimires Ros;Revés;Barcelona;11/09/1994;1,87;Premia de Mar;0;0;0;0;0;0;0;0;0;7;2;28,57;0;0;0;0;0;0
Adrián Corona Roldán;192;60;60;16;44;26,67;2;Alfonso Sánchez Arriaga;Drive;Medina del Campo;15/12/1991;1,71;medina del campo;21;7;33,33;0;0;0;0;0;0;21;5;23,81;0;0;0;0;0;0
Rubén Sánchez Sánchez ;204;53;26;9;17;34,62;2;Francisco Arenas Gualda;Revés;Adra ;13/01/1994;1,76;Almería ;26;9;34,62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hugo García Martínez;206;52;8;2;6;25;1;Antón Márquez Larrea;Revés;Móstoles;19/08/1998;1,83;Arroyomolinos;8;2;25;0;0;0;0;0;0;;;;;;;;;
Igor Amondarain González;234;34;10;3;7;30;1;David García Campos;Drive;San Sebastian;01/04/2002;1,68;Salamanca;5;2;40;0;0;0;0;0;0;5;1;20;0;0;0;0;0;0
Ramiro Pereyra ;234;34;14;7;7;50;4;Martín Andornino;Revés;Mar del Plata - Arg;15/05/1996;1,75;Mar del Plata - Arg;9;5;55,56;0;0;0;0;0;0;2;1;50;0;0;0;0;0;0
Albert Torras Cortada;236;33;48;19;29;39,58;2;Antonio José Cardona Botella;Drive;Barcelona;14/01/1990;1,86;Barcelona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Daniele Cattaneo ;236;33;13;4;9;30,77;1;Simone Cremona;Revés;Vimercate - Italia;10/09/1989;1,87;Genova - Italia;6;1;16,67;0;0;0;0;0;0;4;2;50;0;0;0;0;0;0
Javier Agustín Reiter ;255;25;22;10;12;45,45;2;Alejandro Gil Muñoz;Revés;Buenos Aires - Arg;27/11/1989;1,85;Buenos Aires - Arg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Javier Bravo Álvarez;255;25;11;3;8;27,27;2;Carlos Pérez Cabeza;Drive;Málaga;15/01/1990;1,69;Málaga - España;0;0;0;0;0;0;0;0;0;3;2;66,67;0;0;0;0;0;0
Sergio Borrero Fernández De La Puente;255;25;7;1;6;14,29;1;Arnau Iñíguez Fernández;Drive;Sevilla;17/06/2001;1,90;Sevilla;4;1;25;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
